#        TCE       KIC           Source       KIC  Prat    Dist ΔRow ΔCol   Mag2   ΔMag     Drat      Mechanism Flag  Psig  Tsig
003644399-01 003644399          3511.01 003644542  1:1    146.5    3   36   8.35   7.14 7.5508E+02   Direct-PRF    0 0.762 0.349
003644505-01 003644505          3511.01 003644542  1:1    198.3   38   32   8.35   5.24 2.6938E+03   Direct-PRF    0 2.362 1.875
003644523-01 003644523          3511.01 003644542  1:1     55.0  -13   -5   8.35   7.58 8.4442E+01   Direct-PRF    0 0.257 0.272
003644523-02 003644523    003644542-sec 003644542  3:1     55.0  -13   -5   8.35   7.58 4.5143E+01   Direct-PRF    0 0.635 0.139
003644523-03 003644523    003644542-sec 003644542  1:1     55.0  -13   -5   8.35   7.58 9.8242E+01   Direct-PRF    0 0.357 0.289
003644601-01 003644601          3511.01 003644542  3:1     71.5   17   -4   8.35   6.81 1.1136E+02   Direct-PRF    0 0.146 0.028
003644601-02 003644601    003644542-sec 003644542  3:1     71.5   17   -4   8.35   6.81 1.3641E+02   Direct-PRF    0 0.551 0.334
003644601-03 003644601          3511.01 003644542  1:1     71.5   17   -4   8.35   6.81 3.9656E+02   Direct-PRF    0 0.171 0.217
003644601-04 003644601    003644542-sec 003644542  1:1     71.5   17   -4   8.35   6.81 5.0690E+02   Direct-PRF    0 0.101 0.342
003644602-01 003644602          3511.01 003644542  3:1    133.3   33    5   8.35   6.79 4.9918E+02   Direct-PRF    0 4.455 0.605
003644602-02 003644602     003644601-01 003644601  1:1     72.4   16    9  15.16  -0.02 5.5705E+00   Direct-PRF    1 1.608 0.978
003644649-01 003644649          3511.01 003644542  3:1    210.5   52    9   8.35   6.06 7.1193E+02   Direct-PRF    0 1.917 0.352
003644653-01 003644653          3511.01 003644542  1:1    105.4   25  -10   8.35   7.55 1.9582E+02   Direct-PRF    0 0.348 0.113
003644653-02 003644653    003644542-sec 003644542  1:1    105.4   25  -10   8.35   7.55 2.0429E+02   Direct-PRF    0 0.180 0.048
003644738-02 003644738    003644542-sec 003644542  3:1    161.6   17  -37   8.35   7.01 4.1993E+02   Direct-PRF    0 3.504 0.700
003655332-01 003655332          6348.01 003655326  1:1      4.2   -1    0  14.21  -0.36 3.7206E+00   Direct-PRF    0 0.012 0.007
