003248332-pri 003248332    7.36360660 54956.975010  0.0270 0.124900
003248332-sec 003248332    7.36360660 54960.849740  0.0216 0.097400
003323289-pri 003323289   33.69320120 54991.866206  0.0077 0.452100
003323289-sec 003323289   33.69320120 55014.026224  0.0069 0.293800
003327980-pri 003327980    4.23102170 54967.106634  0.0565 0.425400
003327980-sec 003327980    4.23102170 54969.218337  0.0589 0.317500
003335816-pri 003335816    7.42200630 54954.355631  0.0189 0.021000
003335816-sec 003335816    7.42200630 54958.061439  0.0190 0.010600
003338660-pri 003338660    1.87338050 55002.252623  0.1455 0.506700
003338660-sec 003338660    1.87338050 55003.194746  0.1364 0.099600
003339538-pri 003339538   14.65801390 54958.816851  0.0074 0.120600
003339563-pri 003339563    0.84123150 54965.376860  0.1430 0.225400
003339563-sec 003339563    0.84123150 54965.810515  0.3358 0.103600
003340313-pri 003340313   30.55370000 55006.985602  0.0063 0.050000
003341934-pri 003341934   18.83949670 54970.768578  0.0102 0.192300
003341934-sec 003341934   18.83949670 54980.606563  0.0183 0.022100
003342425-pri 003342425    0.39341480 54964.942901  0.2154 0.262000
003342425-sec 003342425    0.39341480 54965.138782  0.1640 0.239700
003342592-pri 003342592   17.17732610 54969.191539  0.0195 0.024900
003344427-pri 003344427    0.65178510 55000.003110  0.1059 0.340200
003344427-sec 003344427    0.65178510 55000.327895  0.1070 0.210800
003345675-pri 003345675  120.00401030 55083.146716  0.0011 0.035600
003347485-pri 003347485    7.54484130 54955.024047  0.0330 0.003900
003348093-pri 003348093    7.96442000 55000.364628  0.0107 0.262200
003348093-sec 003348093    7.96442000 55004.389846  0.0239 0.155100
003351945-pri 003351945    1.08053810 54965.329700  0.0659 0.032000
003352751-pri 003352751    3.49545520 54954.597119  0.0603 0.137600
003352751-sec 003352751    3.49545520 54956.350090  0.0729 0.025100
003353233-pri 003353233    0.31577770 55002.057634  0.1060 0.035700
003353233-sec 003353233    0.31577770 55002.216249  0.1186 0.027900
003354616-pri 003354616    0.27698260 55000.188881  0.1447 0.006900
003354616-sec 003354616    0.27698260 55000.328203  0.1234 0.006100
003427776-pri 003427776    4.01668170 54967.239974  0.0217 0.034000
003427776-sec 003427776    4.01668170 54969.250725  0.0277 0.007800
003428468-pri 003428468  114.90867960 55032.449947  0.0023 0.185700
003428468-sec 003428468  114.90867960 55041.481769  0.0015 0.106600
003431321-pri 003431321    1.01504870 54954.417815  0.2489 0.009200
003431321-sec 003431321    1.01504870 54954.937012  0.2647 0.003900
003433668-pri 003433668   15.02179830 54991.740114  0.0142 0.000100
003437778-pri 003437778    0.63558190 55002.015043  0.1706 0.447200
003437778-sec 003437778    0.63558190 55002.335313  0.1733 0.213900
003437800-pri 003437800    0.36267910 54964.746426  0.2381 0.071700
003437800-sec 003437800    0.36267910 54964.928491  0.2641 0.072100
003438975-pri 003438975    2.97609590 55004.632617  0.0734 0.000100
003439031-pri 003439031    5.95202630 54954.068169  0.0372 0.405300
003439031-sec 003439031    5.95202630 54957.044777  0.0352 0.415600
003439180-pri 003439180    0.32506510 55002.039112  0.1041 0.183800
003439180-sec 003439180    0.32506510 55002.202522  0.1042 0.159100
003440230-pri 003440230    2.88110100 54967.238413  0.1028 0.651200
003440230-sec 003440230    2.88110100 54968.691064  0.0945 0.082500
003441784-pri 003441784   52.56872590 54965.403536  0.0051 0.024400
003442054-pri 003442054  117.68138200 54980.206233  0.0045 0.049300
003442054-sec 003442054  117.68138200 55011.203509  0.0067 0.001600
003443519-pri 003443519    0.35362700 54953.826091  0.2661 0.028600
003443519-sec 003443519    0.35362700 54954.006193  0.2333 0.022200
003443790-pri 003443790    1.66578380 54955.201970  0.0447 0.001900
003443790-sec 003443790    1.66578380 54956.035195  0.0477 0.000900
003448245-pri 003448245    0.51349000 54953.953327  0.1644 0.330700
003448245-sec 003448245    0.51349000 54954.211253  0.1806 0.169300
003449540-pri 003449540    3.21200620 54965.493715  0.0492 0.377700
003449540-sec 003449540    3.21200620 54967.099718  0.0466 0.385100
003454864-pri 003454864    0.29412040 54964.780262  0.1569 0.042600
003454864-sec 003454864    0.29412040 54964.927646  0.0966 0.027100
003458919-pri 003458919    0.89206100 54964.815308  0.0895 0.078300
003458919-sec 003458919    0.89206100 54965.261785  0.0803 0.058600
003459199-pri 003459199    3.14103430 54999.890746  0.0380 0.002200
003459199-sec 003459199    3.14103430 55001.461577  0.0344 0.001600
003530668-pri 003530668    1.94620050 55004.235182  0.0781 0.143400
003530668-sec 003530668    1.94620050 55005.213342  0.0567 0.019600
003534118-pri 003534118  178.41355740 55051.226914  0.0006 0.032200
003542573-pri 003542573    6.94279580 54959.807593  0.0258 0.088900
003542573-sec 003542573    6.94279580 54963.274825  0.0279 0.083700
003543270-pri 003543270    4.17692940 54966.195961  0.0435 0.061200
003543270-sec 003543270    4.17692940 54968.288603  0.0397 0.021700
003544694-pri 003544694    3.84570000  5500.426884  0.0363 0.097000
003544694-sec 003544694    3.84570000  5502.349349  0.0372 0.052000
003545476-pri 003545476    0.31768860 54964.739951  0.2579 0.010600
003545476-sec 003545476    0.31768860 54964.900034  0.2292 0.007200
003547091-pri 003547091    3.30557820 55096.322121  0.0266 0.013200
003547111-pri 003547111    1.20783590 55000.126516  0.2454 0.016600
003547111-sec 003547111    1.20783590 55000.737923  0.3165 0.016700
003547315-pri 003547315    1.28470000 54999.596630  0.0614 0.026000
003547315-sec 003547315    1.28470000 55000.240265  0.0562 0.020200
003549994-pri 003549994    0.34718160 55000.000868  0.1324 0.436300
003549994-sec 003549994    0.34718160 55000.174737  0.1317 0.397600
003556229-pri 003556229    0.79672020 55000.337470  0.1484 0.154500
003556229-sec 003556229    0.79672020 55000.736627  0.1295 0.048100
003557421-pri 003557421    0.39372760 54953.706725  0.1401 0.207500
003557421-sec 003557421    0.39372760 54953.903668  0.1283 0.170300
003558822-pri 003558822    1.35342070 54953.844462  0.1511 0.058700
003558822-sec 003558822    1.35342070 54954.524421  0.3019 0.029900
003558981-pri 003558981    2.98785850 54965.154915  0.0339 0.040300
003560212-pri 003560212    0.34606430 55000.205217  0.1171 0.483600
003560212-sec 003560212    0.34606430 55000.378422  0.1379 0.487400
003633901-pri 003633901    0.80738700 54999.655075  0.2606 0.021300
003633901-sec 003633901    0.80738700 55000.054166  0.2330 0.011500
003641446-pri 003641446    2.10001430 55000.215748  0.2369 0.018600
003641446-sec 003641446    2.10001430 55001.288435  0.2865 0.017200
003644542-pri 003644542  119.67979490 55009.105590  0.0084 0.294500
003644542-sec 003644542  119.67979490 55107.219086  0.0052 0.257000
003654950-pri 003654950    8.13472460 55003.927327  0.0307 0.055900
003654950-sec 003654950    8.13472460 55008.008518  0.0245 0.058500
003655326-pri 003655326   15.06650340 54973.654266  0.0139 0.080300
003655326-sec 003655326   15.06650340 54982.201493  0.0152 0.052300
003656322-pri 003656322    3.66360360 54956.379473  0.0663 0.061400
003659940-pri 003659940    0.89626980 54965.564596  0.0693 0.082800
003662635-pri 003662635    0.93937550 54965.012755  0.0896 0.107700
003662635-sec 003662635    0.93937550 54965.482067  0.0851 0.090500
003730067-pri 003730067    0.29407860 54964.887243  0.1435 0.382800
003730067-sec 003730067    0.29407860 54965.034282  0.1245 0.207600
003732732-pri 003732732    0.39618720 54953.918666  0.1927 0.208000
003732732-sec 003732732    0.39618720 54954.118622  0.2157 0.200000
003734868-pri 003734868   10.32803600 54966.268921  0.0334 0.016500
003735597-pri 003735597    1.96635560 54954.425217  0.1349 0.187700
003735597-sec 003735597    1.96635560 54955.410165  0.1219 0.119400
003735629-pri 003735629    9.32834610 54999.322469  0.0158 0.446700
003735629-sec 003735629    9.32834610 55003.987575  0.0159 0.222400
